site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,172,1552,104205,33.404,46.92
5695,369,26,707,3858,104205,33.568,46.775
5740,363,26,2422,65354,104205,33.645,46.384
28177,363,26,24,65354,104205,33.569,45.967
18107,363,26,591,65354,104205,33.65,46.416
18085,363,26,467,65354,104205,33.564,46.427
18105,363,26,913,65354,104205,33.646,46.431
22275,370,26,167,3942,104205,33.443,46.526
19762,363,26,979,65354,104205,33.606,46.393
28599,368,26,17,1785,104205,33.087,47.015
25725,371,26,11,6577,104205,32.692,46.168
22301,364,26,1513,13540,104205,33.817,46.318
26728,371,26,84,6577,104205,33.103,46.129
21661,365,26,305,1552,104205,33.305,47.038
26348,365,26,42,1552,104205,33.43,46.849
18012,371,26,158,6577,104205,33.077,46.534
24523,363,26,832,65354,104205,33.643,46.437
5843,364,26,1203,13540,104205,33.871,46.244
18028,370,26,73,3942,104205,33.304,46.641
21680,369,26,171,3858,104205,33.572,46.719
26986,370,26,20,3942,104205,33.381,46.724
18102,363,26,932,65354,104205,33.641,46.398
5787,364,26,506,13540,104205,33.76,46.363
18100,363,26,682,65354,104205,33.633,46.384
23731,360,25,83,732,1598,33.999,45.954
19768,363,26,312,65354,104205,33.646,46.423
18015,371,26,44,6577,104205,33.119,46.053
22295,363,26,367,65354,104205,33.718,46.346
14903,363,26,6,65354,104205,33.631,46.415
24150,365,26,322,1552,104205,33.344,46.993
25219,369,26,77,3858,104205,33.46,46.914
5763,366,26,692,7597,104205,33.699,46.659
14972,360,25,214,732,1598,33.941,46.474
20822,371,26,61,6577,104205,33.122,46.052
5761,363,26,1691,65354,104205,33.694,46.298
21699,360,25,91,732,1598,33.897,46.547
25588,366,26,171,7597,104205,33.755,46.583
28704,369,26,134,3858,104205,33.517,46.855
24527,363,26,50,65354,104205,33.824,45.958
26446,365,26,193,1552,104205,33.359,46.953
5701,363,26,2178,65354,104205,33.59,46.376
5790,366,26,797,7597,104205,33.766,46.564
5818,348,25,303,506,1598,33.828,46.653
5485,371,26,848,6577,104205,33.122,46.168
18099,363,26,533,65354,104205,33.632,46.416
5817,364,26,1521,13540,104205,33.825,46.309
14918,363,26,69,65354,104205,33.665,46.094
