site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,178,1506,60995,33.404,46.92
5695,369,26,693,3756,60995,33.568,46.775
5740,363,26,902,34365,60995,33.645,46.384
28177,363,26,74,34365,60995,33.569,45.967
18107,363,26,260,34365,60995,33.65,46.416
18085,363,26,536,34365,60995,33.564,46.427
18105,363,26,430,34365,60995,33.646,46.431
22275,370,26,252,2793,60995,33.443,46.526
19762,363,26,600,34365,60995,33.606,46.393
28599,368,26,21,1459,60995,33.087,47.015
22301,364,26,520,5301,60995,33.817,46.318
26728,371,26,72,6491,60995,33.103,46.129
21661,365,26,243,1506,60995,33.305,47.038
26348,365,26,103,1506,60995,33.43,46.849
18012,371,26,176,6491,60995,33.077,46.534
24523,363,26,295,34365,60995,33.643,46.437
5843,364,26,592,5301,60995,33.871,46.244
18028,370,26,132,2793,60995,33.304,46.641
21680,369,26,120,3756,60995,33.572,46.719
26986,370,26,32,2793,60995,33.381,46.724
18102,363,26,320,34365,60995,33.641,46.398
5787,364,26,321,5301,60995,33.76,46.363
18100,363,26,366,34365,60995,33.633,46.384
23731,360,25,115,731,1782,33.999,45.954
19768,363,26,116,34365,60995,33.646,46.423
18015,371,26,123,6491,60995,33.119,46.053
22295,363,26,355,34365,60995,33.718,46.346
24150,365,26,233,1506,60995,33.344,46.993
25219,369,26,94,3756,60995,33.46,46.914
28749,363,26,52,34365,60995,33.716,45.906
5763,366,26,571,5324,60995,33.699,46.659
14972,360,25,121,731,1782,33.941,46.474
20822,371,26,117,6491,60995,33.122,46.052
5761,363,26,1173,34365,60995,33.694,46.298
21699,360,25,143,731,1782,33.897,46.547
25588,366,26,95,5324,60995,33.755,46.583
28704,369,26,124,3756,60995,33.517,46.855
24527,363,26,39,34365,60995,33.824,45.958
26446,365,26,335,1506,60995,33.359,46.953
5701,363,26,1135,34365,60995,33.59,46.376
5790,366,26,307,5324,60995,33.766,46.564
5818,348,25,367,568,1782,33.828,46.653
5485,371,26,182,6491,60995,33.122,46.168
18099,363,26,165,34365,60995,33.632,46.416
5817,364,26,400,5301,60995,33.825,46.309
14918,363,26,261,34365,60995,33.665,46.094
14941,357,25,119,483,1782,33.807,45.621
23474,364,26,185,5301,60995,33.981,46.048
23725,348,25,201,568,1782,33.818,46.721
26238,363,26,95,34365,60995,33.631,46.395
26988,366,26,76,5324,60995,33.753,46.784
19731,371,26,550,6491,60995,33.417,46.263
19780,366,26,472,5324,60995,33.875,46.43
5890,364,26,337,5301,60995,33.929,46.182
26312,364,26,113,5301,60995,33.95,46.141
5694,363,26,140,34365,60995,33.567,46.484
18076,363,26,313,34365,60995,33.521,46.482
29251,370,26,37,2793,60995,33.268,46.634
5735,363,26,456,34365,60995,33.64,46.414
24980,363,26,272,34365,60995,33.528,46.497
14942,364,26,444,5301,60995,33.822,46.248
20844,363,26,255,34365,60995,33.442,46.787
27197,366,26,48,5324,60995,33.831,46.483
5751,363,26,323,34365,60995,33.665,46.389
25425,371,26,209,6491,60995,33.091,46.486
26275,368,26,29,1459,60995,33.106,46.802
5728,363,26,166,34365,60995,33.635,46.399
19772,363,26,558,34365,60995,33.707,46.229
26100,368,26,32,1459,60995,32.86,46.875
28770,370,26,28,2793,60995,33.243,46.436
5727,363,26,699,34365,60995,33.634,46.409
14777,368,26,269,1459,60995,33.066,46.899
14938,366,26,352,5324,60995,33.77,46.572
19764,363,26,1341,34365,60995,33.621,46.397
23957,363,26,238,34365,60995,33.638,46.426
18094,369,26,315,3756,60995,33.607,46.744
5737,363,26,237,34365,60995,33.642,46.428
25730,363,26,158,34365,60995,33.523,46.569
5715,363,26,320,34365,60995,33.621,46.378
23155,360,25,352,731,1782,33.959,46.262
5741,363,26,757,34365,60995,33.645,46.413
23718,363,26,325,34365,60995,33.584,46.396
26985,368,26,97,1459,60995,33.004,46.94
28393,363,26,12,34365,60995,33.622,46.498
22279,371,26,124,6491,60995,33.508,46.407
5561,370,26,419,2793,60995,33.386,46.601
20859,363,26,326,34365,60995,33.616,46.388
5556,370,26,361,2793,60995,33.381,46.597
19766,363,26,248,34365,60995,33.638,46.44
5722,363,26,379,34365,60995,33.63,46.424
5603,371,26,274,6491,60995,33.455,46.215
27886,363,26,63,34365,60995,33.667,45.993
5481,371,26,281,6491,60995,33.115,46.163
14792,370,26,384,2793,60995,33.204,46.518
14900,363,26,520,34365,60995,33.627,46.356
14726,368,26,159,1459,60995,32.818,46.962
14901,363,26,741,34365,60995,33.628,46.39
5788,366,26,115,5324,60995,33.763,46.571
22289,363,26,237,34365,60995,33.636,46.415
5816,364,26,373,5301,60995,33.824,46.314
23147,363,26,296,34365,60995,33.625,46.372
5717,363,26,644,34365,60995,33.625,46.411
5898,364,26,378,5301,60995,33.941,46.287
19777,364,26,361,5301,60995,33.834,46.299
22297,366,26,627,5324,60995,33.731,46.672
14821,370,26,220,2793,60995,33.397,46.596
23947,368,26,295,1459,60995,33.229,46.917
26276,368,26,122,1459,60995,33.185,46.964
